EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,CIVILIAN_TARGETING,COUNTRY,ADMIN1,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,FATALITIES,TAGS,TIMESTAMP
UKR54051,26-Feb-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Donetsk,Staryi Karavan,48.922,37.782,2,1,nan,1648582629
UKR54571,27-Feb-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Ivano-Frankivsk,Ivano-Frankivsk,48.922,24.71,1,0,nan,1649184811
UKR75460,1-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kyiv City,Kyiv,50.45,30.522,1,0,nan,1665508790
UKR52633,3-Mar-22,2022,1,Battles,Armed clash,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-) Air Force,nan,Ukraine,Mykolaiv,Balovne,47.052,31.884,2,3,nan,1646783636
UKR74318,6-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kyiv,Irpin,50.522,30.251,1,8,nan,1664907089
UKR52967,7-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Zhytomyr,Korosten,50.959,28.638,1,0,nan,1651165023
UKR53064,8-Mar-22,2022,1,Battles,Armed clash,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-),nan,Ukraine,Sumy,Hlukhiv,51.678,33.916,2,0,nan,1647376820
UKR53174,10-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Ukraine,Donetsk,Vasylivka,48.172,37.86,1,0,nan,1647376820
UKR53589,16-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Velyka Pysarivka,50.424,35.48,1,0,nan,1647984300
UKR53474,18-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Chernihiv,Chernihiv,51.505,31.285,1,0,nan,1647984302
UKR54168,20-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kyiv,Bucha,50.544,30.212,1,0,nan,1648582629
UKR54311,20-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Horlivka,48.313,38.042,2,0,nan,1680636708
UKR54148,22-Mar-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Marinka,47.943,37.505,1,0,nan,1648582627
UKR54840,26-Mar-22,2022,1,Battles,Armed clash,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-),nan,Ukraine,Sumy,Okhtyrka,50.31,34.899,2,0,nan,1649184812
UKR54817,29-Mar-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Luhansk,Voyevodivka,48.98,38.444,2,0,nan,1649184811
UKR54494,30-Mar-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Donetsk,Mariupol,47.13,37.571,1,0,nan,1665526396
