,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK,EU
2014,25675,14045,10805,1480,905,172945,14535,145,7585,5460,3490,58845,380,41215,1440,63655,385,1030,365,1275,21780,5610,440,1500,74980,355,230,32120,562675
2015,85505,38990,20160,2105,1235,441805,20825,225,11370,14600,32150,70570,140,174435,3270,82790,275,2360,330,1695,43035,10255,870,1225,156115,260,270,39720,1256585
2016,39875,14250,18990,2840,1200,722270,6055,150,49875,15570,5275,76790,2150,28215,2235,121185,415,2065,345,1735,19285,9780,710,1855,22335,1265,100,39240,1206055
2017,22455,14035,3470,4475,1140,198255,3125,180,56940,33035,4330,91965,880,3115,2910,126550,520,2320,355,1610,16090,3005,1015,4700,22190,1435,150,34355,654605
2018,11580,18130,2465,7610,1350,161885,3465,90,64975,52730,2950,126580,675,635,3655,53440,385,2225,175,2035,20465,2405,1240,1945,18075,2800,155,38400,602520
2019,10985,23105,2075,12695,1570,142450,2605,100,74910,115175,2445,138290,1265,465,4740,35005,625,2200,180,4015,22485,2765,1735,2455,23125,3615,215,44250,675545
2020,13400,12905,3460,7065,790,102525,1420,45,37860,86380,1445,81735,1540,90,1535,21330,260,1295,145,2410,13660,1510,900,6025,13595,3465,265,,417055
2021,37800,19545,10890,13260,1055,148175,1995,75,22660,62050,1355,103790,2480,40,2615,45200,3905,1365,580,1200,24730,6240,1350,9065,9015,5220,330,,535985
2022,109775,32100,20260,21590,1335,217735,4475,2940,29125,116135,4815,137510,2660,45,13645,77200,905,2405,545,915,35500,7700,1975,12065,13180,6645,500,,873680
2023,55605,29260,22390,11660,1130,329035,2355,3980,57895,160460,4450,145095,1635,30,13220,130565,510,2615,1625,490,38320,7720,2600,9875,8945,7185,370,,1049020
